#{"t_start": 1741385346.9208233, "env_id": "None"}
r,l,t
-10019.0,288,625.173887
-11634.0,288,625.64187
-11439.0,288,626.125973
-10444.0,288,629.963659
-10787.0,288,630.464899
-10046.0,288,630.934973
-11089.0,288,632.580173
-12647.0,288,633.093109
-10085.0,288,633.924837
-10474.0,288,634.377874
-11652.0,288,634.845656
-12335.0,288,635.330626
-11922.0,288,635.799634
-11953.0,288,637.443385
-12302.0,288,637.916381
-11618.0,288,638.448208
-10311.0,288,638.924668
-10000.0,288,639.387498
-13247.0,288,639.860029
-8814.0,288,640.563356
-13319.0,288,645.56108
-11417.0,288,646.032959
-11156.0,288,646.523816
-10193.0,288,646.99245
-10233.0,288,647.44904
-11059.0,288,647.922836
-10461.0,288,648.628938
-10941.0,288,650.239329
-11295.0,288,650.800404
-12733.0,288,651.261693
-12542.0,288,651.735334
-11678.0,288,652.208527
-12133.0,288,652.661289
-12279.0,288,653.16019
-10532.0,288,654.772205
-12171.0,288,655.25977
-11464.0,288,655.781797
-13610.0,288,659.800152
-11538.0,288,660.26945
-11289.0,288,660.736989
-10749.0,288,661.278993
-10604.0,288,661.755801
-11320.0,288,663.398064
-11353.0,288,663.851595
-11434.0,288,664.337153
-11472.0,288,665.049067
-10999.0,288,665.498336
-11632.0,288,665.983146
-10714.0,288,666.516599
-12479.0,288,668.145
-12558.0,288,668.629126
-10308.0,288,669.099257
-10228.0,288,669.571659
-10294.0,288,670.034891
-11258.0,288,670.505705
-9919.0,288,674.567639
-10570.0,288,676.255379
-11764.0,288,676.78991
-12385.0,288,677.273087
-12819.0,288,677.740076
-12185.0,288,678.208274
-10127.0,288,678.67867
-11595.0,288,679.146227
-11367.0,288,680.787651
-11332.0,288,681.510807
-11881.0,288,682.032722
-13531.0,288,682.498095
-11445.0,288,682.966945
-11010.0,288,683.437749
-12064.0,288,683.909569
-10174.0,288,685.583119
-12059.0,288,686.05953
-11163.0,288,690.102037
-13343.0,288,690.583824
-11906.0,288,691.055399
-13160.0,288,691.513452
-13976.0,288,692.038122
-10627.0,288,693.757407
-10652.0,288,694.225586
-9779.0,288,694.693357
-10305.0,288,695.161047
-10375.0,288,695.635483
-11528.0,288,696.100699
-11597.0,288,696.80334
-12516.0,288,698.508806
-12166.0,288,698.981186
-10207.0,288,699.465051
-13629.0,288,699.934361
-9650.0,288,700.405652
-11443.0,288,704.18887
-12943.0,288,704.881847
-10837.0,288,706.531266
-9863.0,288,706.994767
-9650.0,288,707.538744
-11305.0,288,708.029649
-11639.0,288,708.502127
-11980.0,288,708.968014
-11246.0,288,709.422271
-11121.0,288,711.086277
-11991.0,288,711.570444
-12933.0,288,712.037174
-11371.0,288,712.587053
-10092.0,288,713.292919
-13413.0,288,713.76489
-11288.0,288,714.227251
-10514.0,288,714.717974
-11611.0,288,716.370473
-11008.0,288,720.197171
-12398.0,288,720.664281
-11591.0,288,721.370222
-11335.0,288,721.836649
-11941.0,288,722.305366
-13412.0,288,722.855746
-11935.0,288,724.562948
-11550.0,288,725.025624
-11705.0,288,725.48151
-11113.0,288,725.96733
-12558.0,288,726.439503
-11938.0,288,726.907698
-10944.0,288,727.377508
-11879.0,288,729.353469
-10601.0,288,729.806283
-10915.0,288,730.276295
-12614.0,288,730.758664
-10237.0,288,734.540173
-10469.0,288,735.014903
-11982.0,288,735.468677
-13788.0,288,737.366235
-12822.0,288,737.821516
-11294.0,288,738.357665
-12040.0,288,738.856175
-10348.0,288,739.324544
-11396.0,288,739.774837
-10954.0,288,740.24647
-11920.0,288,741.902527
-13366.0,288,742.374876
-10756.0,288,742.856279
-11057.0,288,743.392211
-10624.0,288,743.886435
-12701.0,288,744.586109
-10917.0,288,745.040005
-12487.0,288,746.714555
-10877.0,288,750.417597
-13342.0,288,750.888312
-10550.0,288,751.354999
-10619.0,288,751.828215
-12347.0,288,752.533106
-10215.0,288,753.003301
-10807.0,288,754.790794
-11395.0,288,755.26144
-10088.0,288,755.715442
-11465.0,288,756.182891
-10979.0,288,756.667948
-11425.0,288,757.137138
-11700.0,288,757.604414
-12081.0,288,759.33996
-12350.0,288,759.810071
-11805.0,288,760.279668
-14112.0,288,760.984735
-11463.0,288,764.767481
-10396.0,288,765.248059
-11828.0,288,765.715182
-11711.0,288,767.341223
-10699.0,288,767.843269
-12220.0,288,768.31002
-11738.0,288,768.998884
-10233.0,288,769.60294
-11454.0,288,770.075827
-10790.0,288,770.546669
-9971.0,288,771.004478
-10964.0,288,772.654519
-10572.0,288,773.122361
-11831.0,288,773.592896
-11666.0,288,774.076058
-10536.0,288,774.615906
-11316.0,288,775.091028
-12001.0,288,779.075311
-11210.0,288,780.806872
-12521.0,288,781.27753
-11943.0,288,781.748954
-10358.0,288,782.216873
-12924.0,288,782.686536
-9935.0,288,783.154523
-12407.0,288,783.622817
-11043.0,288,785.524011
-11957.0,288,786.059636
-12193.0,288,786.507473
-11910.0,288,786.984324
-11747.0,288,787.47306
-12858.0,288,787.941351
-10814.0,288,788.410852
-11382.0,288,790.060894
-12424.0,288,790.512561
-11076.0,288,791.074645
-10675.0,288,795.07743
-11905.0,288,795.549182
-10735.0,288,796.100045
-10985.0,288,796.578868
-11814.0,288,798.243374
-12038.0,288,798.702508
-13037.0,288,799.171153
-11256.0,288,799.627611
-10679.0,288,800.331091
-9895.0,288,800.79819
-11217.0,288,801.343655
-9608.0,288,803.029806
-12164.0,288,803.485379
-9112.0,288,803.956903
-10222.0,288,804.426594
-11055.0,288,804.906685
-11278.0,288,805.364448
-10942.0,288,809.379327
-11582.0,288,810.995067
-11862.0,288,811.579308
-12162.0,288,812.052366
-10611.0,288,812.519691
-11607.0,288,812.972847
-10729.0,288,813.438427
-9676.0,288,813.910391
-10837.0,288,815.562519
-11137.0,288,816.050054
-11479.0,288,816.827998
-10073.0,288,817.303179
-10409.0,288,817.766827
-11616.0,288,818.253588
-12030.0,288,818.72054
-10879.0,288,820.393309
-10688.0,288,820.878551
-12668.0,288,824.935777
-12482.0,288,825.405268
-11057.0,288,825.875628
-10752.0,288,826.345551
-12569.0,288,826.910512
-10822.0,288,827.402985
-10238.0,288,829.045354
-12622.0,288,829.5151
-12547.0,288,829.97178
-10975.0,288,830.443494
-11663.0,288,830.909961
-12498.0,288,831.399136
-10772.0,288,832.161095
-12458.0,288,833.889163
-12285.0,288,834.361512
-11813.0,288,834.831556
-9551.0,288,835.2857
-10813.0,288,835.782771
-10400.0,288,839.549964
-9941.0,288,840.255465
-12681.0,288,841.872849
-12427.0,288,842.421521
-9797.0,288,842.897925
-9851.0,288,843.369681
-11655.0,288,843.832059
-12719.0,288,844.300728
-10021.0,288,844.783722
-11867.0,288,846.427372
-11740.0,288,846.896101
-11779.0,288,847.413501
-11888.0,288,847.927992
-12660.0,288,848.628629
-10903.0,288,849.116381
-12340.0,288,849.580843
-11357.0,288,851.231735
-12301.0,288,855.04939
-10081.0,288,855.515117
-11387.0,288,855.989011
-10789.0,288,856.692184
-10571.0,288,857.16199
-10173.0,288,857.646139
-10431.0,288,859.323503
-12599.0,288,859.793671
-10360.0,288,860.281649
-10631.0,288,860.753112
-10119.0,288,861.208827
-9320.0,288,861.67701
-12388.0,288,862.146276
-12322.0,288,863.866815
-10981.0,288,864.349209
-12371.0,288,865.053498
-10358.0,288,865.521026
-10930.0,288,869.318841
-9623.0,288,869.79612
-13815.0,288,870.256247
-11819.0,288,871.88658
-12125.0,288,872.380264
-13120.0,288,873.087441
-11306.0,288,873.62108
-10441.0,288,874.100518
-12216.0,288,874.568081
