#{"t_start": 1739931590.9300845, "env_id": "None"}
r,l,t
-9794.0,288,681.405428
-11133.0,288,681.901057
-12594.0,288,682.381963
-10660.0,288,684.0952
-10244.0,288,684.626279
-10791.0,288,685.097102
-11392.0,288,685.586393
-11547.0,288,686.056581
-12437.0,288,686.738513
-12841.0,288,687.220423
-11286.0,288,688.92702
-11132.0,288,689.415892
-10201.0,288,689.902524
-13692.0,288,690.392299
-10727.0,288,690.910392
-9938.0,288,691.381606
-11025.0,288,695.459162
-11798.0,288,697.232712
-12142.0,288,697.710234
-13108.0,288,698.324229
-11508.0,288,698.802327
-12457.0,288,699.280255
-10988.0,288,699.766242
-9866.0,288,700.235875
-11284.0,288,701.940736
-11168.0,288,702.444925
-10460.0,288,702.925433
-11005.0,288,703.554433
-12171.0,288,704.040449
-11798.0,288,704.541821
-12885.0,288,705.010757
-11121.0,288,706.757415
-10806.0,288,707.292065
-12583.0,288,711.238282
-12791.0,288,711.709328
-11407.0,288,712.195087
-11980.0,288,712.712831
-11832.0,288,713.194197
-11984.0,288,714.895883
-11772.0,288,715.525321
-11401.0,288,716.008675
-11909.0,288,716.479172
-11536.0,288,716.964947
-10304.0,288,717.497912
-11520.0,288,717.989214
-11433.0,288,719.713347
-12385.0,288,720.183848
-11800.0,288,720.811213
-10970.0,288,721.28201
-12886.0,288,721.783423
-10735.0,288,725.882026
-11919.0,288,726.347151
-12911.0,288,728.090426
-11029.0,288,728.582288
-12135.0,288,729.066924
-11556.0,288,729.538702
-12474.0,288,730.025029
-11962.0,288,730.495801
-13227.0,288,731.14192
-11944.0,288,732.861197
-12815.0,288,733.410169
-12594.0,288,733.889169
-13545.0,288,734.360786
-11703.0,288,734.863038
-10704.0,288,735.332338
-14013.0,288,735.820239
-11494.0,288,736.433221
-13777.0,288,738.195661
-12597.0,288,742.014561
-14871.0,288,742.484103
-11419.0,288,743.095387
-9439.0,288,743.639112
-11737.0,288,744.112527
-11872.0,288,744.58323
-11722.0,288,746.283225
-10845.0,288,746.757892
-12353.0,288,747.224651
-11007.0,288,747.694849
-11919.0,288,748.354655
